Heyl Beringer ;Berlin;Germany;52.52000659999999, 13.404954;Y;;;3;n;n;Y
Arzberger;Eisenach;Germany;50.9795715, 10.3146872;Y;;;3;n;n;Y
Siegle;Stuttgart;Germany;48.7758459, 9.1829321;Y;;;3;n;n;Y
Blue d'outremer;St. Amand;France;50.44897899999999, 3.428713;Y;;;1;Y;Y;N
Katzauer;Bruchsal;Germany;49.1249712, 8.5844107;Y;;;2;N;N;N
Grenzhausen;Grenzhausen;Germany;50.4347311, 7.6693082;Y;;;2;N;N;N
L.Berger;London;United Kingdom;51.5073509, -0.1277583;Y;;;3;N;N;N
Bruno Lampel;Köln;Germany;50.937531, 6.9602786;Y;;;2;N;N;N
Wunsiedel;Wunsiedel;Germany;50.0399087, 12.0039306;Y;;;1;N;N;N
Trautmann;Magdeburg;Germany;52.1205333, 11.6276237;Y;;;1;Y;Y;Y
Sattler;Schweinfurt ;Germany;50.0492047, 10.2194227;Y;;;3;Y;Y;N
Schroeder und Stadelmann;Oberlahnstein;Germany;50.29993, 7.6042046;Y;;;2;Y;Y;N
Lefranc & Co;Paris;France;48.856614, 2.3522219;Y;;;2;N;N;N
Ultramarinfabrik;Köln;Germany;50.937531, 6.9602786;Y;;;3;Y;Y;N
Vossen;Aachen;Germany;50.7753455, 6.083886800000001;Y;;;3;N;N;N
Jacques & Co;Les Mureaux;France;48.990181, 1.912178;N.I.;;;1;N.I.;N.I.;N
Geitner und Co;Schneeberg;Germany;50.59549010000001, 12.6386475;Y;;;2;Y;Y;N
Michell und Morell;Eppstein;Germany;50.14529599999999, 8.3881459;Y;;;2;Y;Y;N
Hauptblaufarbenfabrik;Leipzig;Germany;51.3396955, 12.3730747;Y;;;2;Y;Y;N
Thies und Roth;Mannheim;Germany;49.4874592, 8.466039499999999;Y;;;2;N;N;N
Vossen;Neuss;Germany;51.2041968, 6.6879511;Y;;;2;N;N;N
C.W. Voigt Neuwerk;;Germany;51.165691, 10.451526;Y;;;2;Y;Y;N
Vettewinkel;Amsterdam;Netherlands;52.3675734, 4.9041389;Y;;;2;N;N;N
Rambant;Aubervilliers;France;48.912259, 2.384049;N.I.;;;1;N.I.;N.I.;N
Habich und Soehne ;Veckenhagen;Germany;51.4922345, 9.600143899999999;Y;;;2;N;N;N
Bongers de Rath;London;United Kingdom;51.5073509, -0.1277583;Y;;;3;Y;N;N
Sachtleben;Köln;Germany;50.937531, 6.9602786;Y;;;1;Y;Y;N
Springer und Moeller;Leipzip;Germany;51.3396955, 12.3730747;Y;;;1;N;N;N
E.Guimet Sas;Gent;Belgium;51.0543422, 3.7174243;Y;;;1;Y;Y;N
P.Schoen;Zaandam;Netherlands;52.4420399, 4.8291993;Y;;;3;N;N;N
Dr. Haagen;Roermond;Netherlands;51.1913202, 5.9877715;Y;;;3;N;N;Y
A. De Laborderie;La borderie;France;;N.I.;;;3;N.I.;N.I.;N
